date,close,매입금액,손익,수익률
2026-07-10,410018015,371048870,38969145,10.5024
2026-07-10,410018015,371048870,38969145,10.5024
2026-07-10,410018015,371048870,38969145,10.5024
2026-07-13,386830375,371048870,15781505,4.2532
2026-07-13,386830375,371048870,15781505,4.2532
2026-07-13,374513705,360216271,14297434,3.9691
2026-07-14,371296485,360216271,11080214,3.076
2026-07-15,387973330,360216271,27757059,7.7057
2026-07-16,367652070,360216271,7435799,2.0643
2026-07-16,367652070,360216271,7435799,2.0643
2026-07-20,348576050,360216271,-11640221,-3.2315
2026-07-21,356876775,360216271,-3339496,-0.9271
2026-07-22,361413060,360216271,1196789,0.3322
2026-07-23,370599975,360216271,10383704,2.8826
2026-07-24,353342005,360216271,-6874266,-1.9084
2026-07-27,354042030,360216271,-6174241,-1.714
2026-07-28,320527270,360216271,-39689001,-11.0181
2026-07-29,305522540,360216271,-54693731,-15.1836
2026-07-30,143850175,132441600,11408575,8.614
2026-07-30,143850175,132441600,11408575,8.614
2026-07-30,143850175,132441600,11408575,8.614
2026-07-30,143850175,132441600,11408575,8.614
2026-07-30,143850175,132441600,190888856,334739031,11408575,8.614
2026-07-30,143850175,132441600,190888856,334739031,11408575,8.614
2026-07-30,141992925,132441600,190888856,332881781,9551325,7.2117
2026-07-30,143850175,132441600,190888856,334739031,11408575,8.614
2026-07-31,176161295,146410376,190888856,367050151,29750919,20.3202
2026-07-31,176161295,146410376,190888856,367050151,29750919,20.3202
2026-07-31,188157160,158218832,164885748,353042908,29938328,18.9221
2026-07-31,188157160,158218832,117501109,305658269,29938328,18.9221
2026-07-31,188157160,158218832,164885748,353042908,29938328,18.9221
2026-07-31,195319910,164892082,157732504,353052414,30427828,18.4532
2026-07-31,195319910,165282265,157732504,353052414,30037645,18.1735
2026-07-31,199880595,169698645,153190109,353070704,30181950,17.7856
2026-07-31,202769360,172587305,150296784,353066144,30182055,17.488
2026-07-31,202769360,172587305,150296784,353066144,30182055,17.488
2026-07-31,213923305,183760179,139121059,353044364,30163126,16.4144
2026-07-31,215503150,185343147,137538104,353041254,30160003,16.2725
2026-07-31,215503150,185343147,137538104,353041254,30160003,16.2725
